,M1,M2,M3,M4,M5,M6,M7,M8
J1,15,16,2,3,14,6,18,16
J2,6,2,13,3,19,3,9,4
J3,10,6,1,2,7,8,17,18
J4,7,11,2,7,12,16,12,18
J5,4,19,13,11,14,6,5,8
J6,10,15,14,15,14,19,15,16
J7,1,5,11,3,8,2,6,17
J8,2,16,19,10,8,9,6,2
J9,8,18,13,4,3,3,2,10
J10,12,9,19,13,16,4,5,19
J11,9,19,19,11,12,9,12,18
J12,10,8,9,9,4,14,4,2
J13,12,11,2,18,16,13,5,6
J14,13,18,2,6,12,10,13,11
J15,8,16,1,16,12,8,19,19
J16,10,4,2,1,17,8,16,6
J17,10,10,5,19,13,2,3,18
J18,9,1,18,17,6,7,18,19
J19,17,16,2,12,19,13,19,2
J20,17,1,14,1,16,7,3,4
