,M1,M2,M3
J1,7,11,8
J2,1,14,13
J3,3,12,9
J4,15,11,1
J5,17,6,2
J6,19,18,17
J7,1,3,3
J8,4,17,16
J9,8,12,10
J10,6,18,16
J11,9,5,15
J12,7,18,12
J13,2,8,4
J14,11,17,7
J15,14,13,7
J16,6,8,12
J17,15,10,15
J18,17,11,5
J19,4,17,16
J20,1,2,16
J21,1,10,9
J22,18,14,9
J23,19,9,5
J24,10,8,10
J25,5,5,14
J26,7,13,11
J27,12,10,7
J28,10,13,5
J29,7,8,11
J30,17,9,16
J31,1,6,15
J32,17,8,12
J33,1,18,18
J34,13,7,9
J35,8,1,8
J36,4,4,3
J37,8,8,10
J38,3,11,7
J39,15,8,9
J40,1,10,12
J41,16,15,7
J42,14,15,19
J43,7,14,12
J44,3,10,7
J45,3,6,2
J46,9,12,8
J47,19,17,18
J48,6,5,6
J49,9,9,17
J50,19,18,12
