,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
J1,5,7,6,16,18,6,19,19,13,9
J2,3,19,17,6,10,18,14,7,13,2
J3,19,1,8,19,13,14,3,8,15,2
J4,18,14,9,6,4,5,7,1,5,1
J5,8,9,3,11,6,14,9,13,1,5
J6,9,1,17,19,14,9,13,5,5,7
J7,4,16,13,16,9,2,15,11,14,14
J8,4,10,2,10,10,19,11,16,9,9
J9,10,5,12,8,5,2,17,2,6,19
J10,1,10,19,10,3,14,5,13,14,5
J11,2,11,15,19,18,7,12,13,9,10
J12,7,13,5,15,15,16,11,11,12,4
J13,2,5,14,1,7,7,7,10,6,14
J14,2,15,16,11,1,4,15,14,16,13
J15,18,3,13,5,5,8,17,15,10,14
J16,17,12,11,5,14,9,5,17,15,3
J17,9,11,5,16,2,1,15,8,5,8
J18,11,15,7,13,2,5,1,16,7,1
J19,8,18,10,7,1,8,8,2,15,14
J20,2,16,18,5,9,9,5,13,3,5
J21,6,13,9,7,6,7,12,11,6,15
J22,18,4,10,18,19,15,9,7,4,7
J23,7,4,9,2,1,5,5,18,3,18
J24,5,3,14,14,19,9,9,15,7,18
J25,6,18,6,12,13,10,16,18,12,3
J26,19,7,4,1,15,11,16,3,15,16
J27,18,17,19,1,3,19,6,17,2,5
J28,7,18,17,4,19,6,6,13,13,11
J29,6,7,6,6,2,16,16,4,10,12
J30,16,2,15,4,17,3,10,2,2,15
