,M1,M2,M3,M4,M5
J1,10,3,1,3,12
J2,7,15,12,17,5
J3,7,14,1,10,10
J4,1,2,15,18,14
J5,15,11,7,15,17
J6,2,17,13,16,17
J7,18,10,16,8,10
J8,13,6,2,10,15
J9,16,11,6,15,5
J10,14,14,5,8,8
J11,6,12,14,1,1
J12,3,16,17,11,7
J13,3,15,17,9,8
J14,9,12,18,3,11
J15,11,7,17,18,14
J16,4,4,10,17,1
J17,17,9,14,18,17
J18,8,2,11,2,1
J19,3,4,19,15,8
J20,19,17,10,12,3
J21,10,7,3,9,10
J22,18,1,17,8,2
J23,7,9,15,2,6
J24,13,1,15,17,18
J25,15,9,6,10,16
J26,11,18,8,4,13
J27,4,2,4,3,19
J28,17,12,9,11,9
J29,19,11,10,11,15
J30,13,3,10,15,3
J31,19,6,1,15,16
J32,19,17,9,18,14
J33,1,11,17,9,17
J34,19,1,10,13,5
J35,8,4,1,13,18
J36,17,4,19,19,3
J37,13,19,2,3,7
J38,12,1,2,13,3
J39,7,13,13,9,4
J40,19,2,1,16,7
J41,11,18,10,7,3
J42,5,6,12,13,4
J43,11,18,9,14,16
J44,10,11,1,17,13
J45,9,1,12,18,1
J46,8,17,10,8,18
J47,11,18,17,9,15
J48,6,7,3,1,16
J49,12,4,10,13,18
J50,5,13,12,3,1
