,M1,M2,M3,M4,M5,M6,M7,M8
J1,9,17,17,8,12,14,13,12
J2,12,3,8,10,2,16,14,9
J3,19,2,8,15,14,1,9,4
J4,15,19,5,12,3,17,19,17
J5,10,11,18,16,10,15,1,18
J6,9,3,11,15,15,3,10,3
J7,1,17,2,13,8,18,19,13
J8,4,18,4,6,13,11,7,10
J9,16,11,1,4,10,5,15,2
J10,14,7,9,13,18,14,7,8
J11,9,7,9,4,7,14,14,9
J12,14,5,4,2,9,15,12,12
J13,6,9,15,5,16,9,10,16
J14,10,12,14,16,11,5,17,6
J15,4,6,18,9,10,14,4,8
J16,2,8,19,7,8,6,11,3
J17,10,18,10,8,14,3,7,9
J18,11,18,6,1,17,7,4,12
J19,12,7,19,6,17,7,9,7
J20,3,2,3,17,13,2,2,1
J21,6,4,3,6,8,13,11,6
J22,18,10,2,9,18,11,13,4
J23,16,5,8,10,4,4,7,8
J24,13,16,6,14,8,15,7,11
J25,15,10,15,16,2,11,9,8
J26,14,19,2,9,4,19,17,11
J27,5,4,13,12,14,3,5,3
J28,17,1,8,11,16,4,7,12
J29,17,2,5,9,19,7,9,13
J30,13,15,4,9,3,10,7,6
J31,3,6,5,17,19,12,6,13
J32,13,13,14,14,16,2,15,5
J33,19,14,14,6,16,1,7,2
J34,5,7,2,12,13,7,12,1
J35,17,5,15,11,19,18,18,19
J36,8,13,2,10,8,17,13,3
J37,14,8,9,7,1,15,19,19
J38,6,6,13,9,16,7,18,19
J39,1,19,5,9,11,15,7,6
J40,16,11,8,16,1,12,17,9
J41,14,2,1,2,5,5,14,5
J42,14,8,1,15,8,6,10,3
J43,5,7,8,15,7,16,8,6
J44,4,19,16,10,9,16,16,1
J45,4,13,5,6,15,9,18,18
J46,10,5,4,15,10,2,17,6
J47,14,5,16,9,6,11,5,15
J48,11,10,10,16,4,10,1,9
J49,3,1,17,5,7,5,1,5
J50,6,13,1,4,10,10,4,9
