,M1,M2,M3,M4,M5,M6,M7,M8
J1,2,16,1,10,17,7,8,19
J2,7,2,2,14,12,7,7,7
J3,18,14,17,18,10,19,18,12
J4,13,8,17,16,4,11,11,18
J5,9,7,19,4,8,5,5,1
J6,1,2,3,3,11,8,18,15
J7,19,7,16,1,7,6,15,7
J8,7,5,18,13,6,11,4,7
J9,6,11,6,16,4,17,6,11
J10,11,11,14,14,8,9,10,2
J11,18,10,7,1,9,6,10,19
J12,4,5,7,6,13,4,2,13
J13,14,11,5,7,1,5,15,15
J14,16,1,2,8,9,12,16,19
J15,13,7,3,14,12,10,13,14
J16,18,17,15,12,7,10,6,8
J17,15,2,10,3,1,1,14,8
J18,3,16,7,4,6,6,3,16
J19,5,6,10,3,15,14,15,19
J20,2,8,14,12,13,14,13,10
J21,6,1,11,12,15,3,7,5
J22,4,7,17,18,1,6,6,4
J23,16,5,3,4,11,4,17,17
J24,9,18,18,14,8,15,4,13
J25,5,13,7,15,8,12,15,7
J26,18,9,2,2,16,13,6,18
J27,18,11,13,5,10,8,6,17
J28,5,18,14,6,11,8,10,7
J29,8,6,4,18,17,19,14,4
J30,8,8,1,1,17,12,7,11
J31,18,5,18,5,15,8,2,16
J32,4,6,18,11,19,14,7,12
J33,11,18,1,4,15,19,2,1
J34,10,14,1,17,14,1,3,7
J35,8,6,13,8,16,17,1,19
J36,12,9,3,3,2,9,15,18
J37,4,8,15,1,11,4,15,4
J38,9,11,16,17,12,1,9,11
J39,1,1,17,2,7,6,1,18
J40,10,18,14,15,1,14,13,19
J41,12,1,11,1,9,11,3,16
J42,13,10,14,15,16,15,1,2
J43,12,1,4,15,1,3,9,5
J44,16,11,19,12,7,8,17,8
J45,16,10,9,8,14,5,16,19
J46,9,19,18,5,6,14,13,12
J47,7,16,6,19,18,7,18,18
J48,14,13,10,5,10,1,13,4
J49,14,19,17,10,5,2,2,18
J50,16,7,9,15,11,2,5,15
J51,10,9,11,17,6,18,11,19
J52,12,19,10,5,10,8,3,8
J53,8,8,13,16,2,9,14,11
J54,1,9,12,11,4,5,4,9
J55,10,12,4,5,10,13,19,2
J56,7,17,6,8,11,15,9,3
J57,8,18,6,10,5,3,5,17
J58,4,4,19,9,13,6,12,9
J59,9,16,6,11,5,17,1,14
J60,18,3,18,6,11,15,15,8
J61,19,18,8,18,6,5,12,10
J62,9,12,19,17,19,6,2,17
J63,2,14,11,15,15,9,11,5
J64,14,10,8,5,19,8,8,1
J65,5,5,13,16,11,8,17,3
J66,19,3,7,10,9,11,7,3
J67,14,10,15,8,3,13,13,16
J68,12,2,7,15,19,5,17,3
J69,19,15,6,9,4,7,3,8
J70,5,9,3,16,6,9,10,2
J71,6,18,14,19,15,3,19,14
J72,6,6,4,8,11,13,4,8
J73,4,13,11,9,8,7,12,1
J74,4,6,17,17,17,7,15,19
J75,4,8,4,9,1,8,15,14
J76,5,2,14,18,12,13,6,12
J77,1,17,7,11,4,11,18,5
J78,12,19,9,5,17,6,2,13
J79,15,8,6,6,18,17,4,1
J80,16,11,11,2,19,18,7,17
J81,15,8,11,15,1,2,8,11
J82,7,1,16,18,12,9,3,8
J83,5,19,11,19,4,5,3,15
J84,15,19,5,14,19,13,15,3
J85,4,13,18,17,3,4,5,11
J86,17,17,15,6,10,13,6,19
J87,8,14,14,18,17,14,3,5
J88,9,15,6,7,5,10,17,7
J89,1,17,5,13,17,13,16,3
J90,12,4,19,5,17,17,18,16
J91,16,4,8,17,3,12,6,18
J92,19,13,7,6,17,8,17,2
J93,16,15,7,14,10,12,3,2
J94,10,11,3,9,19,6,16,13
J95,7,1,9,8,12,14,11,13
J96,11,12,4,8,14,13,2,3
J97,16,17,1,19,10,18,7,14
J98,14,10,17,3,11,15,19,14
J99,7,6,7,18,19,18,10,6
J100,12,17,2,16,2,13,3,13
